country,happiness_score,gdp_per_capita,life_expectancy,year
Bosnia and Herzegovina,5.386,0.945,0.845,2019
Turkey,5.373,1.183,0.808,2019
Malaysia,5.339,1.221,0.828,2019
Belarus,5.323,1.067,0.789,2019
Greece,5.287,1.181,0.999,2019
Mongolia,5.285,0.948,0.667,2019
North Macedonia,5.274,0.983,0.838,2019
Nigeria,5.265,0.696,0.245,2019
Kyrgyzstan,5.261,0.551,0.723,2019
Turkmenistan,5.247,1.052,0.657,2019
Algeria,5.211,1.002,0.785,2019
Morocco,5.208,0.801,0.782,2019
Azerbaijan,5.208,1.043,0.769,2019
Lebanon,5.197,0.987,0.815,2019
Indonesia,5.192,0.931,0.66,2019
China,5.191,1.029,0.893,2019
Vietnam,5.175,0.741,0.851,2019
Bhutan,5.082,0.813,0.604,2019
Cameroon,5.044,0.549,0.331,2019
Bulgaria,5.011,1.092,0.815,2019
Ghana,4.996,0.611,0.486,2019
Ivory Coast,4.944,0.569,0.232,2019
Nepal,4.913,0.446,0.677,2019
Jordan,4.906,0.837,0.815,2019
Benin,4.883,0.393,0.397,2019
Congo (Brazzaville),4.812,0.673,0.508,2019
Gabon,4.799,1.057,0.571,2019
Laos,4.796,0.764,0.551,2019
South Africa,4.722,0.96,0.469,2019
Albania,4.719,0.947,0.874,2019
Venezuela,4.707,0.96,0.805,2019
Cambodia,4.7,0.574,0.637,2019
Palestinian Territories,4.696,0.657,0.672,2019
Senegal,4.681,0.45,0.571,2019
Somalia,4.668,0.0,0.268,2019
Namibia,4.639,0.879,0.477,2019
Niger,4.628,0.138,0.366,2019
Burkina Faso,4.587,0.331,0.38,2019
Armenia,4.559,0.85,0.815,2019
Iran,4.548,1.1,0.785,2019
Guinea,4.534,0.38,0.375,2019
Georgia,4.519,0.886,0.752,2019
Gambia,4.516,0.308,0.428,2019
Kenya,4.509,0.512,0.581,2019
Mauritania,4.49,0.57,0.489,2019
Mozambique,4.466,0.204,0.39,2019
Tunisia,4.461,0.921,0.815,2019
Bangladesh,4.456,0.562,0.723,2019
Iraq,4.437,1.043,0.574,2019
Congo (Kinshasa),4.418,0.094,0.357,2019
Mali,4.39,0.385,0.308,2019
Sierra Leone,4.374,0.268,0.242,2019
Sri Lanka,4.366,0.949,0.831,2019
Myanmar,4.36,0.71,0.555,2019
Chad,4.35,0.35,0.192,2019
Ukraine,4.332,0.82,0.739,2019
Ethiopia,4.286,0.336,0.532,2019
Swaziland,4.212,0.811,0.0,2019
Uganda,4.189,0.332,0.443,2019
Egypt,4.166,0.913,0.644,2019
Zambia,4.107,0.578,0.426,2019
Togo,4.085,0.275,0.41,2019
India,4.015,0.755,0.588,2019
Liberia,3.975,0.073,0.443,2019
Comoros,3.973,0.274,0.505,2019
Madagascar,3.933,0.274,0.555,2019
Lesotho,3.802,0.489,0.168,2019
Burundi,3.775,0.046,0.38,2019
Zimbabwe,3.663,0.366,0.433,2019
Haiti,3.597,0.323,0.449,2019
Botswana,3.488,1.041,0.538,2019
Syria,3.462,0.619,0.44,2019
Malawi,3.41,0.191,0.495,2019
Yemen,3.38,0.287,0.463,2019
Rwanda,3.334,0.359,0.614,2019
Tanzania,3.231,0.476,0.499,2019
Afghanistan,3.203,0.35,0.361,2019
Central African Republic,3.083,0.026,0.105,2019
South Sudan,2.853,0.306,0.295,2019
